airport_ident,length_ft,width_ft,surface,closed,le_ident,le_heading_degT,le_latitude_deg,le_longitude_deg,he_ident,he_heading_degT,he_latitude_deg,he_longitude_deg
04NC,91,35,ASPH,0,H1,,,,,,,
04NE,2500,100,TURF,0,N,,,,S,,,
04NJ,3500,50,TURF,0,08,,,,26,,,
04NR,78,36,CON,0,H1,,,,,,,
04NV,3240,45,ASPH,0,02,33.5,35.7518,-115.668,20,,35.7592,-115.662
04NY,5200,50,TURF,0,02,,,,20,,,
04OG,50,100,CONC,0,H1,,,,,,,
04OK,45,45,CONC,0,H1,,,,,,,
04PA,100,100,CONC,0,H1,,,,,,,
04PN,70,70,CONC,0,H1,,,,,,,
04SC,50,50,CONC,0,H1,,,,,,,
04SD,46,46,CON,0,H1,,,,H1,,,
04TE,30,30,TURF,0,H1,,,,,,,
04TN,3000,40,ASPH,0,01,,,,19,,,
04TS,20,20,TURF,0,H1,,,,,,,
04TT,5134,55,ASP,0,18,,29.71954,-99.54539,36,,29.70669,-99.54586
04TX,2000,75,TURF,0,12,,,,30,,,
04UT,3700,50,DIRT,0,04,,,,22,,,
04V,7745,55,GRVL-G,0,10,118,38.1041,-106.186,28,298,38.0941,-106.163
04VA,50,50,CONC,0,H1,,,,,,,
04VG,3500,80,TURF-F,0,01,,,,19,,,
04VG,1800,70,TURF-F,0,11,,,,29,,,
04VT,1300,40,TURF,0,06,,,,24,,,
04W,2751,75,ASPH-G,0,06,66,46.0213,-92.9001,24,246,46.0244,-92.8902
04WA,1800,60,TURF,0,N,,,,S,,,
04WI,1800,100,TURF,0,09,,,,27,,,
04WN,4100,60,ASPH,0,11,,,,29,336.5,,
04WV,40,40,CONC,0,H1,,,,,,,
05AK,2000,100,TURF-GRVL,0,01,,,,19,,,
05AL,1600,50,ASPH,0,H1,,,,,,,
05AL,1600,50,ASPH,0,H2,,,,,,,
05AL,1600,50,ASPH,0,H3,,,,,,,
05AL,1600,50,ASPH,0,H4,,,,,,,
05AL,1600,50,ASPH,0,H5,,,,,,,
05AL,1600,50,ASPH,0,H6,,,,,,,
05AN,1250,100,GVL,0,5,,,,23,,,
05AR,2000,100,TURF,0,06,,,,24,263,,
05AZ,40,40,CONC,0,H1,,,,,,,
05B,4000,200,WATER,0,NW,,,,SE,,,
05CA,78,78,CONC-G,0,H1,,,,,,,
05CL,3700,60,ASPH-G,0,10,116,38.6131,-122.397,28,,38.6086,-122.386
05CO,2650,60,TURF,0,18,,,,36,,,
05CT,50,50,ASPH,0,H1,,,,,,,
05FA,2950,100,TURF,0,08,,,,26,,,
05FD,95,95,TURF,0,H1,,,,,,,
05FL,2900,60,TURF,0,09,,,,27,,,
05FL,1300,50,TURF,0,15,,,,33,,,
05GA,2200,60,ASPH,0,18,,,,36,,,
05IA,2450,65,TURF-P,0,09,,,,27,,,
05ID,2000,70,TURF-GRVL,0,03,,,,21,,,
05IL,3200,70,TURF,0,10,,,,28,,,
05IN,2000,100,TURF,0,08,,,,26,,,
05IS,2000,100,TURF,0,09,,,,27,,,
05KS,2300,50,TURF,0,17,,,,35,,,
05KT,600,50,Turf,0,9,,,,27,,,
05KY,1270,75,TURF,0,02,,,,20,,,
05LA,2200,70,TURF,0,18,,,,36,,,
05LL,120,120,ASPH,0,H1,,,,,,,
05LS,2300,100,TURF,0,02,22.4,31.2471,-92.4783,20,,31.2529,-92.4755
05MA,100,40,ASPH,0,H1,,,,,188,,
05MD,2700,80,TURF,0,18,,,,36,,,
05ME,900,40,TURF,0,E,,,,W,,,
05MS,40,40,CONC,0,H1,,,,,,,
05NE,3210,80,TURF,0,15,,,,33,,,
05NH,100,100,TURF,0,H1,,,,,,,
05NJ,60,60,CONC,0,H1,,,,,,,
05NR,1235,75,Turf,0,16,160,,,34,340,,
05NY,75,75,ASPH-CONC-G,0,H1,,,,,,,
05OG,50,50,ASP,0,H1,,,,,,,
05OI,2000,100,TURF,0,09,,,,27,,,
05OR,2600,50,TURF,0,11,,,,29,,,
05OR,75,75,TURF,0,H1,,,,,,,
05PA,70,70,ASPH,0,H1,,,,,,,
05PN,120,120,ASPH,0,H1,,,,,,,
05PS,2219,100,TURF,0,06,,40.1412,-77.8655,24,,40.146,-77.86
05S,2940,45,TURF-G,0,09,,,,27,,,
05TA,2200,100,TURF-G,0,17,,,,35,,,
05TE,1500,50,TURF,0,15,,,,33,,,
05TS,1700,90,TURF,0,17,,,,35,,,
05TX,2075,50,TURF,0,15,,,,33,,,
05V,6160,52,DIRT-G,0,03,41,37.4048,-105.56,21,221,37.4175,-105.546
05VA,2000,40,TURF,0,18,,,,36,,,
05VT,80,80,CONC,0,H1,,,,,,,
05WA,40,40,CONC,0,H1,,,,,,,
05WI,1800,60,TURF,0,E,,,,W,,,
05WN,1700,50,TURF-GRVL,0,09,,,,27,292.2,,
05XS,2600,100,TURF,0,01,,,,19,,,
05Y,3199,200,TURF-G,0,17,,46.3084,-95.4423,35,,46.2996,-95.4423
06AK,2000,40,GRVL,0,02,,,,20,,,
06AL,1600,75,ASPH,0,H1,,,,,,,
06AL,1600,75,ASPH,0,H2,,,,,,,
06AL,1600,75,ASPH,0,H3,,,,,,,
06AL,1600,75,ASPH,0,H4,,,,,,,
06AL,1600,75,ASPH,0,H5,,,,,,,
06AL,1600,75,ASPH,0,H6,,,,,,,
06AL,1600,75,TURF,0,H7,,,,,,,
06AR,2900,125,TURF,0,16,,,,34,,,
06AZ,80,80,CONC,0,H1,,,,,,,
06B,15000,4000,WATER-E,0,02,,,,20,,,
06CA,20,20,CONC,0,H1,,,,,,,
06CL,46,46,CONC,0,H1,,,,,,,
06CO,4500,75,TURF,0,17,,,,35,,,
06CT,50,50,CON,0,Hi,,,,,,,
06FA,7003,150,ASPH,0,09,90,26.9081,-80.3392,27,270,26.9082,-80.3177
06FD,3400,120,TURF,0,18,,,,36,,,
06FL,200,100,TURF,0,H1,,,,,,,
06GA,300,300,TURF,0,H1,,,,,,,
06I,16000,3500,WATER,0,E,,,,W,,,
06IA,1700,100,TURF,0,09,,,,27,,,
06ID,2200,80,GRVL-DIRT,0,09,,,,27,,,
06IL,2580,70,TURF,0,09,,,,27,,,
06IS,2600,70,TURF,0,18,,,,36,,,
06KS,25,25,TURF,0,H1,,,,,,,
06LA,39,39,CONC,0,H1,,,,,,,
06LS,40,40,CONC,0,H1,,,,,,,
06MA,15,15,ASPH,0,H1,,,,,,,
06MD,60,60,CONC,0,H1,,,,,,,
06MI,45,45,CONC,0,H1,,,,,,,
06MI,45,45,ASPH,0,H2,,,,,,,
06MO,3000,30,ASPH,0,15,156.6,39.2353,-94.8064,33,,39.2278,-94.8022
06MT,2200,60,TURF,0,E,,,,W,,,
06N,2810,60,ASPH-G,0,08,62,41.4302,-74.3961,26,242,41.4337,-74.387
06NC,2600,90,TURF,0,09,,,,27,,,
06ND,2800,50,TURF,0,08,,,,26,,,
06NE,130,95,CONC,0,H1,,,,,,,
06NH,1900,150,TURF,0,17,,,,35,,,
06NY,2000,75,TURF,0,15,,,,33,,,
06O1,40,40,CONC,0,H1,,,,,,,
06OH,2800,100,TURF,0,09,,,,27,,,
06OI,2256,45,TURF-F,0,09,,,,27,,,
06OK,300,100,TURF,0,H1,,,,,,,
06OR,1000,80,GRAVEL,0,N,,,,S,,,
06PA,2965,100,TURF-G,0,08,,,,26,,,
06PN,15,15,CONC,0,H1,,,,,,,
06PN,80,80,ASPH,0,H2,,,,,,,
06TA,1900,15,GRAVEL,0,N,,,,S,,,
06TE,3500,50,ASPH,0,08,83.9,30.3123,-95.0308,26,,30.3131,-95.0229
06TN,2000,50,TURF-F,0,5,,,,23,,,
06TT,3129,75,Turf,0,13,,30.8629,-100.2057,31,,30.8571,-100.1983
06TX,1680,60,TURF,0,01,,,,19,,,
06VA,2000,100,TURF-G,0,05,,,,23,,,
06WA,60,40,ASPH,0,H1,,,,,,,
06WN,2845,30,ASPH-G,0,09,,46.9263,-122.558,27,273.9,46.9236,-122.548
06XS,1750,100,TURF,0,16,,,,34,,,
06Y,2997,60,ASPH-G,0,14,,45.8332,-96.1636,32,,45.8262,-96.1574
07AL,6000,1200,TURF,0,H1,,,,,,,
07AR,3000,60,TURF,0,11,,,,29,,,
07B,3186,100,TURF-F,0,16,,44.4518,-68.5728,34,,44.4442,-68.5666
07CL,2220,50,ASPH,0,16,,,,34,,,
07CO,3100,75,TURF,0,02,,,,20,,,
07FA,4500,70,ASP-G,0,04,40,25.3207,-80.2792,22,,25.3301,-80.2704
07GA,1700,80,TURF,0,09,,,,27,,,
07GE,1860,75,Turf,0,3,,,,21,,,
07I,15000,4000,WATER,0,NE,,,,SW,,,
07IA,1600,60,Turf,0,18,177,40.65008,-95.02151,36,357,40.64569,-95.02119
07II,60,60,CONC,0,H1,,,,,,,
07IN,1860,80,TURF,0,N,,,,S,,,
07K,3700,60,CONC-E,0,15,,41.1164,-98.0533,33,,41.1067,-98.0494
07KS,2000,45,TURF,0,18,,,,36,,,
07KY,2000,100,TURF,0,11,,,,29,,,
07LS,50,50,CONC,0,H1,,,,,,,
07MA,120,60,TURF,0,H1,,,,,,,
07MD,1000,70,TURF,0,17,,,,35,,,
07ME,900,200,TURF,0,H1,,,,,,,
07MI,2904,100,TURF,0,09,,,,27,,,
07MN,2600,50,TURF,0,E,,,,W,,,
07MO,2700,40,TURF-GRVL-F,0,17,,,,35,,,
07MT,13500,300,CONC-G,0,10,120,48.4303,-106.552,28,300,48.4118,-106.504
07N,2200,100,TURF-F,0,16,,,,34,,,
07NC,2000,50,TURF,0,08,,,,26,,,
07NH,2500,200,WATER,0,05W,,,,23W,,,
07NH,2500,200,WATER,0,17W,,,,35W,,,
07NJ,45,45,ASPH,0,H1,,,,,,,
07NY,50,50,ASPH,0,H1,,,,,,,
07OK,2400,80,TURF,0,17,,,,35,,,
07OR,1200,100,TURF,0,17,,,,35,,,
07PN,2000,100,TURF,0,09,,,,27,,,
07PR,45,45,CON,0,H1,,,,,,,
07TA,2204,125,TURF,0,06,,,,24,,,
07TA,200,200,CONC-TURF,0,H1,,,,H1,,,
07TE,5000,100,ASPH,0,13,134,27.7258,-97.5175,31,,27.7164,-97.5064
07TS,2500,75,TURF,0,17,,,,35,,,
07TX,400,50,TURF,0,H1,,,,,,,
07VA,1600,50,TURF,0,16,,,,34,,,
07VT,526,20,TURF,0,05,,,,23,,,
07VT,595,20,TURF,0,14,,,,32,,,
07WA,53,53,CONC,0,H1,,,,,,,
07WY,2200,50,Turf,0,13,,,,31,,,
07XA,37,37,CON,0,H1,,,,-,,,
07XS,30,30,CONC,0,H1,,,,,,,
07Y,2902,150,TURF-G,0,16,,46.9595,-93.5993,34,,46.9521,-93.5956
08AK,1200,80,GRVL,0,01,,,,19,,,
08AL,4000,200,Water,0,9W,,,,27W,,,
08AN,1300,50,GVL,0,7,90,,,25,270,,
08AZ,42,42,CONC,0,H1,,,,,,,
08B,1935,100,TURF-G,0,14,,44.0017,-69.89,32,,43.9983,-69.8843
08CA,60,60,ASPH,0,H1,,,,,,,
08CL,2000,50,DIRT,0,E,,,,W,,,
08CN,50,50,CONC,0,H1,,,,,334,,
08CO,2600,75,TURF,0,09,,,,27,,,
08CT,4700,1400,WATER,0,01,,,,19,,,
08F,3862,40,CON,0,18,,,,36,,,
08FA,3165,80,TURF,0,09,,,,27,,,
08FD,4138,104,TURF,0,18,,,,36,,,
08FL,2500,100,TURF,0,03,,,,21,,,
08G,60,56,ASPH-G,0,H1,,,,,,,
08GA,5000,150,TURF,0,03,,,,21,,,
08GE,50,50,CON,0,H1,,,,,,,
08ID,2500,60,GRAVEL,0,NW,,,,SE,,,
08II,30,30,CONC,0,H1,,,,,,,
08IN,5000,1500,WATER,0,13W,,,,31W,,,
08IS,1320,70,TURF,0,18,,,,36,,,
08KS,2500,70,GRAVEL,0,17,,,,35,,,
08KT,40,40,CON,0,H1,,,,,,,
08KY,2500,60,TURF-G,0,09,,,,27,,,
08LA,30,15,TURF,0,H1,,,,,,,
08LL,2190,100,TURF-G,0,18,,,,36,,,
08LS,2000,60,TURF,0,18,,,,36,,,
08MA,1000,18,ASPH,0,04,,,,22,,,
08MD,45,45,MATS,0,H1,,,,,,,
08ME,3200,90,TURF-F,0,13,,,,31,,,
08MI,60,60,ROOF-TOP,0,H1,,,,,,,
08MN,11088,6000,WATER,0,18,,,,36,,,
08MO,2640,50,TURF,0,03,,,,21,,,
08MO,2140,48,TURF,0,18,,,,36,,,
08MS,3725,50,ASPH-TURF,0,07,70,34.6605,-89.8742,25,,34.664,-89.8625
08MT,2600,80,DIRT,0,07,,,,25,,,
08N,2692,120,TURF-G,0,07,,,,25,,,
08NC,3200,50,TURF,0,18,,,,36,190,,
08ND,1300,75,TURF,0,17,,,,35,,,
08NE,3000,100,TURF-G,0,11,,,,29,,,
08NH,80,80,CONC,0,H1,,,,,,,
08NJ,90,90,ASPH,0,H1,,,,,,,
08NR,1400,40,Turf,0,2,,,,20,,,
08NY,550,60,TURF,0,01,,,,19,,,
08NY,500,40,TURF,0,10,,,,28,,,
08OH,3000,50,TURF,0,E,,,,W,,,
08OK,1800,50,TURF,0,08,,,,26,,,
