iata,icao,name,lat,lon
DYM,AU-DYM,Diamantina Lakes Airport,-23.7617,141.1450
HIS,AU-HIS,Hayman Island Resort Seaplane Base,-20.0600,148.8810
HLV,AU-HLV,Helenvale Airport,-15.6858,145.2150
KBD,YKBS,Kimberley Downs Airport,-17.3986,124.3556
KGR,AU-KGR,Kulgera Airport,-25.8428,133.2920
PEP,AU-PEP,Peppimenarti Airport,-14.1442,130.0910
RDA,AU-RDA,Rockhampton Downs Airport,-18.9533,135.2010
SSK,AU-SSK,Sturt Creek Airport,-19.1664,128.1740
SWB,AU-SWB,Shaw River Airport,-21.5103,119.3620
TWP,AU-TWP,Torwood Airport,-17.3633,143.7500
ZVG,AU-ZVG,Springvale Airport,-17.7869,127.6700
AWR,AWR,Awar Airport (unusable),-4.1223,144.8533
AXF,ZBAL,Alxa Left Banner Bayanhot Airport,38.7483,105.5842
AXO,AXO,Pantar Kabir Airport,-8.2448,124.2191
AMF,AYAA,Ama Airport,-4.1011,141.6700
UAE,AYAE,Mount Aue Airport,-6.2300,144.6642
AFR,AYAF,Afore Airstrip,-9.1387,148.3907
AUP,AYAG,Agaun Airport,-9.9277,149.3900
ATP,AYAI,Aitape Airport,-3.1436,142.3468
AIH,AYAK,Aiambak Airport,-7.3428,141.2675
AMU,AYAM,Amanab Airport,-3.5860,141.2143
ADC,AYAN,Andakombe Airport,-7.1372,145.7447
AIE,AYAO,Aiome Airport,-5.1457,144.7307
KPM,AYAQ,Kompiam Airport,-5.3817,143.9247
AUJ,AYAT,Ambunti Airport,-4.2157,142.8232
AWB,AYAW,Awaba Airport,-8.0134,142.7521
AEK,AYAX,Aseki Airport,-7.3508,146.1940
AYU,AYAY,Aiyura Airport,-6.3381,145.9042
VMU,AYBA,Baimuru Airport,-7.4970,144.8218
BCP,AYBC,Bambu Airport,-5.8636,146.4925
BNM,AYBD,Bodinumu Airport,-9.1078,147.6667
BMZ,AYBF,Bamu Airport,-7.8485,143.2433
BDZ,AYBG,Baindoung Airport,-6.3472,146.9422
BSP,AYBH,Bensbach Airport,-8.8581,141.2594
BWP,AYBI,Bewani Airport,-3.0217,141.1653
BUA,AYBK,Buka Airport,-5.4223,154.6727
BAA,AYBL,Bialla Airport,-5.3306,151.0080
OPU,AYBM,Balimo Airport,-8.0500,142.9330
BMH,AYBO,Bomai Airport,-6.3732,144.6370
BPD,AYBP,Bapi Airstrip,-7.7436,147.0206
BPK,AYBQ,Biangabip Airport,-5.5264,141.7446
BRP,AYBR,Biaru Airport,-7.6693,146.7594
BUL,AYBU,Bulolo Airport,-7.2163,146.6495
XBN,AYBZ,Biniguni Airport,-9.6425,149.3039
CVB,AYCB,Chungribu Airport,-4.8066,144.7150
CGC,AYCG,Cape Gloucester Airport,-5.4552,148.4223
CMU,AYCH,Chimbu Airport,-6.0243,144.9710
SQT,AYCS,China Strait Airstrip,-10.5628,150.6907
DBP,AYDB,Debepare Airport,-6.3086,141.9056
DER,AYDE,Derim Airport,-6.1447,147.1072
BNT,AYDI,Bundi Airport,-5.7422,145.2275
MDM,AYDK,Munduku Airport,-4.6204,143.4516
KPF,AYDL,Kondobol Airport,-8.5336,142.5049
DNU,AYDN,Dinangat Airport,-6.1546,146.6772
DOI,AYDO,Doini Airport,-10.7009,150.7218
DOO,AYDR,Dorobisoro Airport,-9.4619,147.9209
DAU,AYDU,Daru Airport,-9.0868,143.2080
KRU,AYEA,Kerau Airport,-8.2716,147.0719
EMS,AYEB,Embessa Airport,-9.4470,148.7628
XYR,AYED,Edwaki Airport,-3.8840,141.7922
EMI,AYEE,Emirau Airport,-1.6539,149.9758
EFG,AYEF,Efogi Airport,-9.1538,147.6598
MHY,AYEH,Morehead Airport,-8.7141,141.6444
EPT,AYEL,Eliptamin Airport,-5.0412,141.6779
EGA,AYEN,Engati Airstrip,-6.9179,146.1053
EMO,AYEO,Emo River Airstrip,-9.1234,148.0415
ERU,AYER,Erume Airport,-8.2538,146.9747
MFZ,AYES,Meselia Airport,-6.1364,149.1183
BOT,AYET,Bosset Airport,-7.2373,141.1063
ERE,AYEV,Erave Airport,-6.6065,143.9002
SWE,AYEW,Siwea Airport,-6.2842,147.5824
FNE,AYFA,Fane Airport,-8.5493,147.0858
FRQ,AYFE,Feramin Airport,-5.2080,141.6988
FIN,AYFI,Finschhafen Airport,-6.6218,147.8541
FAQ,AYFR,Frieda River Airport,-4.6105,141.9601
FUM,AYFU,Fuma Airport,-6.3933,142.4408
GKA,AYGA,Goroka Airport,-6.0817,145.3920
GEW,AYGC,Gewoia Airport,-9.2263,148.4949
GUG,AYGF,Guari Airport,-8.1286,146.8722
GRL,AYGG,Garasa Airport,-7.9807,147.2135
GAR,AYGI,Garaina Airport,-7.8756,147.1413
GAZ,AYGJ,Guasopa Airport,-9.2259,152.9444
GOE,AYGL,Gonaili Airport,-5.5277,151.5733
GUR,AYGN,Gurney Airport,-10.3115,150.3340
GAP,AYGP,Gusap Airport,-6.0532,145.9590
PNP,AYGR,Girua Airport,-8.8045,148.3090
GBC,AYGS,Gasuke Airport,-6.1028,141.7393
GMI,AYGT,Gasmata Island Airport,-6.2711,150.3310
AKG,AYGU,Anguganak Airport,-3.5605,142.2173
GVI,AYGV,Green River Airport,-3.9022,141.1705
GOC,AYGX,Gora Airstrip,-9.0021,148.2364
HBD,AYHB,Habi Airport,-6.3200,142.4893
HNI,AYHE,Heiweni Airport,-7.4223,146.4276
HYF,AYHF,Hayfields Airport,-3.6984,143.0579
HNN,AYHH,Honinabi Airport,-6.2457,142.1771
HKN,AYHK,Hoskins Airport,-5.4638,150.4073
HIT,AYHO,Haivaro Airport,-6.9406,143.0590
HWA,AYHU,Hawabango Airport,-7.3930,146.0035
IIS,AYIA,Nissan Island Airport,-4.4997,154.2260
IDN,AYID,Indagen Airport,-6.2266,147.2440
IMN,AYII,Imane Airport,-6.7524,146.1072
KGM,AYIM,Kungim Airport,-5.6710,141.0300
IMD,AYIO,Imonda Airport,-3.3280,141.1573
KIE,AYIQ,Aropa Airport,-6.3057,155.7282
IAL,AYIU,Ialibu Airport,-6.2782,143.9944
WSA,AYIW,Wasua Airport,-8.2836,142.8697
WIU,AYIX,Witu Airport,-4.6895,149.4401
MPX,AYIY,Miyanmin Airport,-4.9031,141.6208
KGH,AYJO,Yongai Airport,-8.5289,147.4603
JOP,AYJS,Josephstaal Airport,-4.7471,145.0071
LSA,AYKA,Losuia Airport,-8.5058,151.0810
KBM,AYKB,Kabwum,-6.1555,147.1915
KDR,AYKC,Kandrian Airport,-6.1922,149.5478
KMF,AYKD,Kamina Airport,-7.6493,145.9569
KPA,AYKG,Kopiago Airport,-5.3883,142.4977
KAQ,AYKH,Kamulai Airport,-8.1507,146.8340
UNG,AYKI,Kiunga Airport,-6.1257,141.2820
KNE,AYKJ,Kanainj Airport,-5.2903,144.7072
KRI,AYKK,Kikori Airport,-7.4244,144.2501
KMA,AYKM,Kerema Airport,-7.9636,145.7710
KKD,AYKO,Kokoda Airport,-8.8847,147.7310
KGW,AYKQ,Kagi Airport,-9.1359,147.6694
KRX,AYKR,Kar Kar Airport,-4.5570,145.9404
KZF,AYKT,Kaintiba Airport,-7.5003,146.0338
KUQ,AYKU,Kuri Airport,-7.1351,143.2761
KVG,AYKV,Kavieng Airport,-2.5794,150.8080
KWO,AYKW,Kawito Airport,-7.9770,142.8236
LNV,AYKY,Londolovit Airport,-3.0436,152.6290
LAB,AYLB,Lab Lab Airport,-5.7204,148.0566
KEG,AYLG,Keglsugl Airport,-5.8328,145.0972
KII,AYLI,Kibuli Airstrip,-9.0065,142.6981
LGN,AYLL,Linga Linga Airport,-5.5319,149.7342
LNM,AYLN,Langimar Airport,-7.2231,146.2271
LWI,AYLO,Lowai Airport,-6.3344,146.6458
LPN,AYLP,Leron Plains Airport,-6.3917,146.3434
LNG,AYLS,Lese Airport,-8.2799,146.2765
LNC,AYLT,Lengbati Airport,-6.3846,147.3686
LMI,AYLU,Lumi Airport,-3.4768,142.0413
LSJ,AYLX,Long Island Airport,-5.3604,147.0177
AYM,AYM,Yas Island Seaplane Base,24.4670,54.6103
MRM,AYMA,Manari Airport,-9.1908,147.6219
OBM,AYMB,Morobe Airport,-7.7400,147.5900
MYX,AYMC,Menyamya Airport,-7.2117,146.0194
MAG,AYMD,Madang Airport,-5.2071,145.7890
HGU,AYMH,Mount Hagen Kagamuga Airport,-5.8282,144.2994
MXK,AYMI,Mindik Airport,-6.4717,147.4411
MPG,AYMJ,Makini Airport,-6.5322,147.6512
GUV,AYML,Mougulu Airport,-6.2809,142.4208
MDU,AYMN,Mendi Airport,-6.1477,143.6570
MAS,AYMO,Momote Airport,-2.0619,147.4240
MLQ,AYMP,Malalaua Airport,-8.0714,146.1555
MQO,AYMQ,Malam Airport,-8.7092,142.6497
MXH,AYMR,Moro Airport,-6.3633,143.2380
MIS,AYMS,Misima Island Airport,-10.6892,152.8380
MKN,AYMV,Malekolon Airport,-4.0234,153.6573
MWG,AYMW,Marawaka Airport,-6.9736,145.8849
MPU,AYMZ,Mapua(Mabua) Airport,-2.8114,151.9911
NKN,AYNA,Nankina Airport,-5.8370,146.4533
KEX,AYNB,Kanabea Airport,-7.5389,145.9050
NDN,AYNC,Nadunumu Airport,-9.1436,147.6842
AUI,AYND,Aua Island Airport,-1.4606,143.0647
GBF,AYNE,Negarbo(Negabo) Airport,-6.5678,144.7031
MFO,AYNG,Manguna Airport,-5.5778,151.7923
NUG,AYNI,Nuguria Airstrip,-3.4075,154.7383
NDI,AYNJ,Namudi Airport,-9.4738,148.3294
KSB,AYNM,Kasonombe Airport,-6.3819,146.9859
KDP,AYNN,Kandep Airport,-5.8406,143.5072
NMN,AYNO,Nomane Airport,-6.3218,145.0707
BXZ,AYNS,Bunsil Airport,-5.7243,147.8667
UKU,AYNU,Nuku Airport,-3.6768,142.4849
