ident,icao_code,iata_code
CEB5,,ZFW
CEC4,,YJP
CEM3,,YLE
CER3,,YDC
CER4,,NML
CET2,,CFM
CF-0012,,KWD
CFA7,,GSL
CFC4,,XMP
CFF4,,DAS
CFG6,,YFI
CFM4,,YOE
CFQ4,,TIL
CG-OKG,,OKG
CGA,,CGA
CGG,,CGG
CGK2,,GHK
CHP,,CHP
CJC8,,LRQ
CJL2,,YDJ
CJL8,,YDU
CJN8,,YFL
CJS3,,XCL
CJT3,,YKE
CJV7,,SUR
CJX,,CKD
CJY3,,YTT
CKB6,,YAX
CKL3,,WNN
CKM8,,YBS
CKQ3,,YNO
CKR,,CKR
CKU,,CKU
CKV4,,YDW
CKX,,CKX
CMT,,CMT
CMZ,,CMZ
CN-0051,,ZKL
CN-0062,ZUBZ,BZX
CN-0073,,DFA
CN-0079,ZGSG,HSC
CN-0081,ZSGS,JGS
CN-0154,ZSJX,JNH
CN-0157,,DWS
CN-0177,,LCT
CN-0178,,WHN
CN-0188,,NAY
CN-0193,,PFA
CN-0217,,PNJ
CN-0218,,CBZ
CN-0236,ZUDR,DDR
CN-0237,ZWTK,HQL
CN-0238,,HEW
CN-0253,,JDE
CN-0268,,HLJ
CN-0300,,TYC
CN-0329,,WRH
CN-0347,ZSRJ,JRJ
CN-0354,ZUPL,APJ
CN-0359,ZWZS,ZFL
CN-0361,ZBMV,
CN-0362,,YEH
CN-0384,,LCS
CN-0385,,LFH
CN-0412,,ZGN
CN-0413,ZSBO,BZJ
CN-0414,,BKV
CN-0415,ZWHJ,HJB
CN-0416,,OTQ
CN-0417,ZWQT,JBK
CN-0421,ZPZT,ZAT
CN-0422,ZSLI,LIJ
CN-0423,,YHJ
CN-0427,,OTO
CN-0476,ZSBA,BFY
CN-0481,ZBXJ,
CNE3,,XBE
CNH2,,YNP
CNJ8,,YWR
CNK4,,YPD
CNL3,,XBR
CNM5,,KIF
CO-LCR,,LCR
CPF2,,YEB
CPI,,CPI
CPS9,,YSI
CPV8,,KEW
CR-0006,,ACO
CRL4,,KFM
CSB2,,YSA
CSH4,,YLS
CSK6,,YNX
CSR8,,SSQ
CSU2,,YKU
CTB6,,ZTB
CTK6,,ZKG
CTM3,,YWQ
CTP,,CTP
CTP9,,YAU
CTT5,,ZGS
CTU2,,YFG
CTU5,,ZLT
CUJ,,CUJ
CVL,,CVL
CXC,,CXC
CY-0004,LCRE,
CY-0032,LCNC,
CYAB,CYAB,YAB
CYAC,CYAC,YAC
CYAD,CYAD,YAR
CYAG,CYAG,YAG
CYAH,CYAH,YAH
CYAL,CYAL,YAL
CYAM,CYAM,YAM
CYAQ,CYAQ,XKS
CYAS,CYAS,YKG
CYAT,CYAT,YAT
CYAU,CYAU,
CYAV,CYAV,
CYAW,CYAW,
CYAX,CYAX,
CYAY,CYAY,YAY
CYAZ,CYAZ,YAZ
CYBA,CYBA,YBA
CYBB,CYBB,YBB
CYBC,CYBC,YBC
CYBD,CYBD,QBC
CYBE,CYBE,YBE
CYBF,CYBF,YBY
CYBG,CYBG,YBG
CYBK,CYBK,YBK
CYBL,CYBL,YBL
CYBQ,CYBQ,XTL
CYBR,CYBR,YBR
CYBT,CYBT,YBT
CYBV,CYBV,YBV
CYBX,CYBX,YBX
CYCA,CYCA,YRF
CYCB,CYCB,YCB
CYCC,CYCC,YCC
CYCD,CYCD,YCD
CYCE,CYCE,YCE
CYCG,CYCG,YCG
CYCH,CYCH,YCH
CYCK,CYCK,XCM
CYCL,CYCL,YCL
CYCN,CYCN,YCN
CYCO,CYCO,YCO
CYCQ,CYCQ,YCQ
CYCR,CYCR,YCR
CYCS,CYCS,YCS
CYCT,CYCT,YCT
CYCW,CYCW,YCW
CYCY,CYCY,YCY
CYCZ,CYCZ,YCZ
CYDA,CYDA,YDA
CYDB,CYDB,YDB
CYDF,CYDF,YDF
CYDL,CYDL,YDL
CYDM,CYDM,XRR
CYDN,CYDN,YDN
CYDO,CYDO,YDO
CYDP,CYDP,YDP
CYDQ,CYDQ,YDQ
CYEG,CYEG,YEG
CYEK,CYEK,YEK
CYEL,CYEL,YEL
CYEM,CYEM,YEM
CYEN,CYEN,YEN
CYER,CYER,YER
CYET,CYET,YET
CYEU,CYEU,YEU
CYEV,CYEV,YEV
CYEY,CYEY,YEY
CYFA,CYFA,YFA
CYFB,CYFB,YFB
CYFC,CYFC,YFC
CYFE,CYFE,YFE
CYFH,CYFH,YFH
CYFJ,CYFJ,YTM
CYFO,CYFO,YFO
CYFR,CYFR,YFR
CYFS,CYFS,YFS
CYFT,CYFT,YMN
CYGB,CYGB,YGB
CYGH,CYGH,YGH
CYGK,CYGK,YGK
CYGL,CYGL,YGL
CYGM,CYGM,YGM
CYGO,CYGO,YGO
CYGP,CYGP,YGP
CYGQ,CYGQ,YGQ
CYGR,CYGR,YGR
CYGT,CYGT,YGT
CYGV,CYGV,YGV
CYGW,CYGW,YGW
CYGX,CYGX,YGX
CYGZ,CYGZ,YGZ
CYHA,CYHA,YQC
CYHB,CYHB,YHB
CYHC,CYHC,CXH
CYHD,CYHD,YHD
CYHE,CYHE,YHE
CYHF,CYHF,YHF
CYHH,CYHH,YNS
CYHI,CYHI,YHI
CYHK,CYHK,YHK
CYHM,CYHM,YHM
CYHN,CYHN,YHN
CYHO,CYHO,YHO
CYHP,CYHP,YHP
CYHR,CYHR,YHR
CYHT,CYHT,YHT
CYHU,CYHU,YHU
CYHY,CYHY,YHY
CYHZ,CYHZ,YHZ
CYIB,CYIB,YIB
CYID,CYID,YDG
CYIF,CYIF,YIF
CYIK,CYIK,YIK
CYIO,CYIO,YIO
